text,label
"এই গুলার জায়গামতো চুঁচড়া লাগিয়ে দেয়া দরকার! যত্তসব ভন্ড!""",1
"আসিফ খানকির পোলা, তোর মারে কুত্তা দিয়ে চুদে তোরে পয়দা করসিল",1
শুয়োরের জ্ঞান সীমিত তাই সারাদিন গাঁজাখোরদের মত চিল্লাচিল্লি করতে থাকে।,1
এই মাদ্রাসার হোগুরকে ডিলডো মেরে শাস্তি দেয়া হোক।,1
নাস্তিকতা মানে ই মানুষিক রোগী ।,1
এই বানর !!আপনি কোন জংগল থেকে উদিত হইলেন ?,1
"সাপের বাচ্চা বুইড়া খাটাস, যে নিজে ছাগু বচন করে বেড়ায়, অমানুষ বলা চলে",1
"নেশা করে পুরাই মাতাল, নাস্তীক পারার সদস্য কিনা সে জন্যয় এ অবস্থা",1
হাহা ভাইকি গাঞ্জা একটু বেশি খাইছেন,1
"ওয়া হাহা হীহী, আগে জান্তাম নাস্তীকরা সেক্স করার জন্য নাতাল, নাস্তীক ছেলে উধারতার নামে তার মা বোন, কন্যার সাথে সেক্স করে, নাস্তীক মেয়ে উধারতার নামে তার পীতা, ভাই নিজার ছেলের সাথে সেক্স করে, এখন দেখি এরা জাতিগত মাতাল! , ছাগলের মাধ্যমে ছাগির পেটে বাচ্চা হয়না, হয় পাঠার মাধ্যমে, নেশা বেশি করেফেলছেন নাকি?",1
"হুজুর মাদ্রাসার ছেলেরা ছাগলের সাথে সেক্স করে গরুর সাথে সেক্স করে আমার কাছে যথেষ্ট প্রমাণ আছে, আমাদের নবী দাসী তার ছেলের বউ সাথে সেক্স করেছে",1
"হা হা হা, নাস্তীস মাতালদের শেষ হাতিয়ার, মাতলামী যোক্তি আর কথখ্যন চলে!!! তাই কথা গুরিয়ে অন্যদিকে ছুটা! তো আপনি কি গরভ বতি? পেটের সে জারযটা কার,? আপনার বাবার? নাকি ভায়ের? না আপনার মামার? নাকি কত ঘুড়া আপনার উপর সওয়ার হয়েছে সেটা নিজেও জানেন না? আপনারা তো আবার অনেক উধার কাউকে নিষেদ করেন না, এটাই আপনাদের নাস্তীকতার শিক্ষ্যা",1
তুই তো একটা বোকাচোদা তোকে দেখালে কি আর না দেখালে কি তুই বোকাচোদা থাকবি,1
"ওয়াক থু,,, ছিঃছিঃ সরম! তোমরা শুধু এই কামটাই ভাল পারো, চাই সে বাব হোক বা নিজের সন্তান হোক, এছারা তোমরা নাস্তীক আবালরা আর কিছু পারোনা",1
বলদ মুমিন,1
" কৃষ্ণ জাউররাটার কতটা ধোন ছিল বা কত বড় ধোন ছিল যে অতগুলা মাগি চুদছে,লিলা খেলা করছে।",1
" কিরে মাদার ফাকার,তুই নাস্তিক সেটা তোর আর তো বউ এর হোগার ভিতর ভইরা রাখ। এগুলা পাব্লিসিটি করার কি আছে ? নিজেরে কি ভাবিস মাদারচোদ? তুই বাংলার জারজ সন্তান এঈটা জানানো খুব বেশি প্রয়োজন??",1
নিজেরে কি ভাবিস মাদারচোদ?,1
তুমার পক্ষি টা আল্লাহু আকবার কইরা ফালাইয়া দিব মাদারচোদ,1
ঐ লোকটা একটা বোকাচোদা,1
ধর্মান্ধদের জ্ঞান থাকে শিশ্নের আগায়।,1
ক্যারে তুর মারে পাঁচবার চুদার অাগেই ভয়ে কমেন্ট ডিলেট করলি?,1
এরাই পরে সেক্স কন্ট্রোল করতে না পেরে ছাগল লাগাই,1
"যেই খানকীর পোলা নাস্তিক রা বিরোধীতা করছিস, তোদের সবার বোন দের কে আমি বিয়ে ছাড়া চোদব।",1
"বিয়েতেই যেহেতু তোদের আপত্তি, অতএব তোদের জন্য মাগনা চোদন ই ভাল",1
তোর বৌ আমাকে দিয়ে গোদের জালা মিটাবে,1
বঞ্চদ তুই ও তো একদিন মরবি,1
পুরাই বলদ। দুচানি খাও!,1
তোরা হলি আসল মাদারচুদ,1
"আপনে যে একটা পাডা সেটা কি জানেন, বদনা মহি",1
আসিফ একটা মানসিক রোগীর নাম।,1
আসিফ একটা কুলাঙ্গার,1
একটা রাস্তার কুকুরের সাথে তোর সাথে ততখানি ব্যবধান যতখানি রাস্তার কুত্তা আর পোশা কুত্তার মধ্যে ব্যবধান,1
বলদ!,1
"আসলই এই নেরি কুত্তার মূল উদ্দেশ‌্যহল ইসলাম দর্মকে আঘাত করা ,,,, 
জাপাানে মানুষের উষ্টালাথি খাইতে খাইতে তার আর ভাল লাগেনা, আবার দেশেও আসতে পাড়েনা, তাই এখন পাগলা কুত্তাহয়ে গেসে।",1
ওই কুত্তাটাকে ইতর বললে তো সমস্ত ইতর প্রাণীদের অপমান করা হয়।,1
"আল্লাহর হুকুম ছাড়া আমার ধোন খাড়া হয়না, আবার হাত ও মারি আল্লাহর হুকুমেই।",1
তুই গর্দভ আগে একটু চিন্তা কর তার পর কমেন্ট কর মূর্খ বেকুব কোথাকার!,1
গরম তেল পুটকির মধ্যে একটু ঢালেন কিছুটা হলে ও বুঝতে পারবেন,1
এই হচ্ছে দুই লম্পটের চরিত্ত্র,1
মাদরাসার হোগামাররি কেন হয়?,1
"শুয়ার, জানোয়ার, কুকুরের চাইতে নিকৃস্ট তোরা,, কুকুরের বিস্টা তুরা সকলে",1
চুদাদুদির গল্প শুরু করে দেয়।,1
মনে হয় হেতের বাপে হেতের মায়ের পর্দা ফাটানি না লাগানি আগে দেইখা নিয়াই বিয়াত বইছিলো।,1
আবাল মার্কা পোষ্ট।,1
আবাল,1
মোহাম্মদ নামক ইতর লোকটি,1
যদি সিদ্ধার্থ বড় হয়ে তার মাকে চুদে অর্থাঠ সেক্স করে তবে আসিফ ভাই কি মেনে নিবে?,1
লুইচ্চা নবীর হিজড়া উম্মত,1
লুইচ্চা,1
শুয়োরের বাচ্চা,1
শুয়োরের জাত,1
বাল পাকনা পোলাপান,1
তুই শালা হিজরা,1
কুত্তার বাচ্ছা,1
হারামির বাচ্চা,1
হারামি,1
হারামজাদা,1
হারামখোর,1
খাঙ্কিরপোলা,1
খান্কি মাগির পোলা,1
চোদনা,1
চুদির ভাই,1
চুতমারানি,1
চুদির পোলা,1
তর মায়রে চুদি,1
তর মায়রে বাপ,1
শালার পো শালা,1
হুমুন্দির পুত,1
মাঙ্গির পুত,1
নাটকির পো,1
ল্যাউড়ার পুত,1
হাউয়ার পো,1
হাউয়ার নাতি,1
চুদানির পো,1
ভুদার বেটা,1
লটির পো,1
লটির বেটা,1
ভেড়াচ্চোদা,1
মাউড়া চোদা,1
হোগার ভিতরে ভইড়া দিমু,1
গুয়ার ভিতরে  ভইড়া দিমু,1
ঠ্যাঁঙ কাইট্টা পুটকি দা ভইরা দুম,1
হালা ল্যাওড়া চোদা,1
বানচোত,1
কুত্তাচোদা,1
তর পুটকিত ধান ছড়াইয়া চড়ুই দিয়া খাওয়ামু,1
বালি দিয়া চুদমু তরে খাঙ্কি মাগী!,1
বালের রয়েল বেঙ্গল উকুন,1
তোর হউরিরে ডিগবাজী,1
তোর জাঙ্গীয়া খুইল্যা আগুন লাগায় দিমু,1
বাল ফালায়া খালে নামানো,1
বাল ফালায়া আটিঁ বান্ধা,1
বালে বালে গিট্টু,1
মইত্যা নিজামী,1
গেলমান,1
বাপের আগে বাল ফালায়,1
ভোদাই,1
ভোদার বাল,1
বাল,1
বাল ছাল,1
ধোনের বাল,1
ধোন,1
টেংরি ভাইংগা হাতে ধরায়া দিমু,1
নটি,1
নটি মাগি,1
নটি মাগির পোলা,1
নটি মাগির ঝি,1
গুদের বাল,1
মাগিবাজ,1
মাইগ্যা,1
বেশ্যা মাগী,1
বাল ফালাইয়া আটি বান,1
ভৈরব মাগী,1
পুকটি মারা খা,1
গাড় মারা খা,1
ভইরা দিমু,1
মাঙ্গের পোলা,1
উপ্তা কইরা চুদমু,1
মাঙ্গের নাতি,1
চুদনা মাগী,1
ভাতার চুদা,1
গরম ডিম দিমু,1
উপ্তা কইরা চুদা দিমু,1
গোস্তের লাঠি সাটামু,1
ধোন কাইট্টা কুত্তা দিয়া খাওয়ামু,1
লেওরা,1
চুতমারানীর পোলা,1
তর মায়েরে চিচিং ফাক,1
কান্দে ফালাইয়া তর মায়েরে চুদি,1
পুটকিতে বাশ দিমু,1
চামড়া ছুইল্লা লবণ লাগামু,1
লাথ্থি দিমু,1
উষ্টা খা,1
গুদির ব্যাটা,1
কাঠ্ঠির বেট্যা,1
ল্যাদানী,1
হোলচাটা,1
বাইনচোদ,1
মাদার চোদ,1
হোগা চাটা,1
হোল টাইনা পুকটিতে ভর,1
হোলের চুলকানী,1
বোকা আচোদা,1
খবিশ চোদা,1
ভুস্কি মাগির পোলা,1
তর ভোদায় বিলাই হ্যাচড়া,1
তর মার ভোদায় পাব্লিক টয়লেট,1
তর মায়ের ভুদাতে পোকা,1
তর বাপপের হোল তর বউয়ের ভোদাতে,1
তর মায়ের ঐখানে বিছাতু পাতা,1
তোগোরে ফাসিতে লটকাইয়া চুদমু,1
তোগোর ধোন টাইনা তোগোর পিছন দিয়া ঢুকামু,1
জং ধরা লোহা দিয়া পাকিস্তানের মানচিত্র বানাই্য়া তোদের পিছন দিয়া ঢুকামু,1
তর মায়ের ভোদা শিরিষ কাগজ দিয়া ঘইষা দিমু,1
তর মায়ের ভোদা বোম্বাই মরিচ দিয়া চুদামু,1
"তর হোগায় ইনপুট, তর মায়ের ভোদায় আউটপুট",1
তর বাপের পুটকির ফুটা দিয়া কাডল ঢুকামু,1
নিজামীর গোয়ার কৃমি,1
তর বাপের ধন দিয়া ডাংগুলি খেলুম,1
তর বাপের বিচি বেইচা কটকটি খামু,1
তর বৌয়ের ভোদায় মাগুর মাছ চাষ করুম,1
তর ধন দিয়া মাটি খুড়ুম,1
ফাটা কন্ডমের ফসল,1
হাতির ল্যাওড়া দিয়া তর মায়েরে চুদুম,1
তর মায়ের ভোদা ছিল্লা লবণ লাগায় দিমু,1
তর বাপের হোগা দিয়া ট্রেন ভইরা দিমু,1
তরে গোআ দিয়া চুদামু,1
