text,label
মেয়ে পদা করে চললে এই রকম ধষন হবে না,1
নারীর অধিকার নিয়ে যারা লাফালাফি করে তারা আজ কোথায়?,1
আপনারা উন্নয়ন করেছেন তাই জন্য ধন্যবাদ।,0
সারা দেশে উন্নত যোগাযোগ বাবস্থা চাই,0
আমরা একাত্তর টিভি বয়কট করেছি,1
সব চুরদের বড় চুর ৭১টিভি,1
সব শালা চোর।,1
হলুদ সাংবাদিকতা বন্ধ করুন।,1
৭১ টিভিরে জুরে একটা লাথি মারি,1
রাষ্ট্র ও রাষ্ট্রধর্ম রাষ্ট্রের মৌলিক উপাদান ৪টি।,0
"বাংলাদেশ ক্রিকেট জগৎ, বাংলাদেশের ক্রিকেটের লাইভ ভিডিও সহকারে আপডেট পেতে লাইক দিন পেজে।",0
কি পেয়েছি আমরা শাদিন দেশে চুর বাটপার,1
সোয়াবের কাজ বিনা হিসাবে জাহান্নাম।,1
কয় স্টিক মারছেন?,1
ইভটিজিং কারীদের ক্রস ফায়ারের আওতায় আনা উচিত বলে আমি মনে করি।তাহলে অপরাধ কমবে।,1
রাষ্ট্রধর্ম ইসলাম বাতিল দাবির পৃষ্ঠপোষক ৭১ টিভির লাইসেন্স বাতিল করা হোক।,1
উনাঅনের জোয়ার বইছে,0
এক কথায় অসাধারণ যুক্তি।,0
একটি fresher হিসাবে CCIE (নিরাপত্তা) জন্য যেতে হবে?,0
আমি যদি তাদের সাথে যেতে পারি তবে আমি কিভাবে আমার বন্ধুদের জিজ্ঞাসা করতে পারি?,0
ছেলেরা কেন বুঝতে পারছেন না আমরা কতটা ভালোবাসি?,1
উত্তর ভারত অর্থনৈতিক উন্নয়নের জন্য দক্ষিণ ভারতে কতদিন নির্ভর করবে?,1
কেন থানস সঙ্গে ডাক্তার অদ্ভুত চুক্তি না?,0
দেশপ্রেমিক ভারতীয়রা কেন তাদের দেশে মানবাধিকারের অপব্যবহারের জন্য অন্ধ চোখ ঘুরিয়ে দেয়?,1
এক্রাইলিক শাটার বনাম polyether?রান্নাঘর ক্যাবিনেটের জন্য,0
মঙ্গল সোভা যাত্রা ইসলাম বিরোধী কাজ,1
মামা খুশ হে না,0
ভাই তুই একটা মাদারচোদ।,1
আপনি আমার বাল। ,1
আপনি অনেক বড় একটা খানকির পোলা,1
আপনার থেকে বড় মাদারচোদ আমি আর দেখি নাই।,1
এই মাগীর ছেলে।,1
কবে যানি ভূকম্পনে এ রমনা বটমূল মাটির সাথে মিশে যায়।,1
কালো টাকা দিয়া সবকিছু কড়া জায়া,1
ভন্ডামী শালীরা। অমুসলিম।,1
অমঙ্গল শোভাযাত্রা বাপ দাদার নাম নাই গোদের উপর ট্যাম হিন্দুদের হিন্দি কালচার পালন করে আবার বলে বাঙালি ছি?,1
বসে বসে মুড়ি খাও,1
হিজ্রা কোথাকার,1
উনি আমার প্রিয় রাজনৈতিক ব্যত্তিত্ব,0
পহেলা বৈশাখে শাক সবজি কাওয়া ভাল। অনেক রোখ থেকে মুক্তি পাওয়া যায়।,0
চলুন আমরা সবাই পান্তা ইলিশ বর্জন করি,1
গনতন্ত্র হাসিনার দখলে।,1
"বর্তমান রাজনীতি, পকেট ভরার রাজনীতি।",1
প্রাণ প্রিয় মুসলমান ভাই বোনেরা কোথায়?? ইসলামিক পেজে লাইক দরকার।,0
তারা মন্ত্রি-নেতা নামে পশু কুকুর সয়তান।,1
Mh Sojib ভাই এইটা লাস্ট পর্যন্ত দেখ ?,0
"ADD দিলে ৫ Second এর মধ্যেই Accept করেবো। ১৮ ""ঘন্টা ""এক্টিব ""থাকি ""আর ""সবসময় ""লাইক ""কমেন্ট ""করার ""চেষ্টা ""করি। ""চাইলে ""এড ""করতে "" পারেন।",0
আইন সবার জন্য সমান এটা সংবিধান স্বীকৃত,0
"♥ Good Morning ♥ ঘুম ঘুম রাত শেষে, সূর্য আবার উঠলো হেসে ফুটলো আবার ভোরের আলো,, দিনটা সবার কাটুক ভালো .. শুরু হল...",0
ইন্টারেস্টিং......,0
আপনার রিসেন্ট পোষ্টগুলোর ৮০% এ বদমাশ ফিতনাবাজদের দূর্গন্ধ পাওয়া যায়।,1
"সমকামিতাকে ""তখন"" কুরুচিপূর্ণ অশ্লীল মনে করা হতো, তো এখন কি মনে করা হয় এডমিন ব্রো? শ্লীল এবং রুচিসম্মত বিষয়?",1
"নরমালি বায়োপিক দেখিনা কারণ বোরিং লাগে। কিন্তু ইমিটেশন গেম দেখছিলাম, কাম্বারব্যাচের অভিনয় জাস্ট অসাধারণ ছিলো৷",0
আমি শিওর না। তবে মুভিতে দেখিয়েছিল আপেলে বিষ মিশিয়ে আত্মহত্যা করা হয়।,1
সেই সময় সেই দেশের সরকার ভালো পদক্ষেপ নিয়েছিল।,0
এখন সমকামীদের পবিত্র মনে করা হয় বুঝি,1
ইতিহাসে তোমার চুতিয়াপা সোনার অক্ষরে লেখা থাকবে।,1
একটা মানুষকে তার সেক্সুয়াল অরিয়েন্টেশন নিয়ে কেন অসম্মান করা হবে বুঝে আসে না। সে তো কারো ক্ষতি করেনি।,0
মৃত্যুদন্ডের শাস্তি দেয়া উচিত ছিল,1
এই দেশেও একদিন সমকামীরা আর সব মানুষের মত সমান মর্যাদা নিয়ে বাঁচবে।,0
হাগু করার ছিদ্রকে পূজো করা লোকের অভাব নেই এখানে,1
তাহলে এই মহান ব্যাক্তিকে পায়ু সৈনিক বলা হয় না কেন?,1
"সেইসব পুরুষরাই নারীবাদীদের দালালি করে, যারা নিজেদের পুরুষত্ব নিয়ে সন্দিহান।",1
যেহেতু দুজনের সম্মতি থাকলে সেক্স করা যায় সেহেতু পরক্রিয়াকে আপনারা সাপোর্ট করেন নাকি?,1
"নিজেকে আকর্ষনীয় করে লোকদের দেখানোর কারণ তো যেন লোকেরা আকর্ষীত হয়।এখন আকর্ষীত করে,বিচার চাইলে কি তাঁকে সমর্থন করা উচিত।",1
ধর্ষন একটা জঘন্য অপরাধ এবং শাস্তি হওয়া দরকার।,0
নারীবাদিতার দোহাই দিয়ে খানকিগিরি সাপোর্ট করলেন,1
আল্লাহ কারো আমলনামার হিসাব নেয়ার দায়িত্ব আপনাদের দেয়নি।,0
পরী মনি আপু পাশে আছি শিল্পী হিসাবে - জনি সিন্স,1
